key,region,section,system,option,unit,price
bayArea|GenAmountPaint|addon||popcorn,Bay Area,General Rehab,Paint,Popcorn ceiling scrape,sqft,1.5
bayArea|GenAmountMisc|addon||concrete,Bay Area,General Rehab,Miscellaneous,Concrete work,sqft,20
bayArea|FinAmountAppliance|pick|appl|nofridge,Bay Area,Finishes,Appliances,"All new, no fridge",flat,2750
bayArea|FinAmountAppliance|pick|appl|fridge,Bay Area,Finishes,Appliances,All new w/ fridge,flat,4000
bayArea|FinAmountAppliance|pick|appl|r36,Bay Area,Finishes,Appliances,"36"" range w/ fridge",flat,5000
bayArea|FinAmountAppliance|pick|appl|r48,Bay Area,Finishes,Appliances,"48"" range w/ fridge",flat,6500
bayArea|FinAmountCleaning|addon||clean,Bay Area,Finishes,Cleaning,Cleaning,flat,800
bayArea|FinAmountStaging|pick|stage|high,Bay Area,Finishes,Staging,High end,flat,6000
bayArea|FinAmountStaging|pick|stage|cheap,Bay Area,Finishes,Staging,Cheap,flat,3500
bayArea|FinAmountStaging|pick|stage|estage,Bay Area,Finishes,Staging,E-stage,flat,550
bayArea|FinAmountMisc|addon||photos,Bay Area,Finishes,Miscellaneous,Photos,flat,300
bayArea|FinAmountMisc|addon||hiphotos,Bay Area,Finishes,Miscellaneous,High end photos,flat,1000
bayArea|FinAmountMisc|addon||reports,Bay Area,Finishes,Miscellaneous,Reports,flat,1000
centralValley|MajAmountRoof|pick|roofType|tearoff,Central Valley,Major Systems,Roof,Tearoff,roofSquares,550
centralValley|MajAmountRoof|pick|roofType|layover,Central Valley,Major Systems,Roof,Layover,roofSquares,375
centralValley|MajAmountRoof|addon||cert,Central Valley,Major Systems,Roof,Roof cert,flat,500
centralValley|MajAmountRoof|addon||gutters,Central Valley,Major Systems,Roof,New gutters,flat,2000
centralValley|MajAmountHvac|pick|hvac|service,Central Valley,Major Systems,HVAC,Service,flat,375
centralValley|MajAmountHvac|pick|hvac|cond2,Central Valley,Major Systems,HVAC,2 ton condenser,flat,3500
centralValley|MajAmountHvac|pick|hvac|cond3,Central Valley,Major Systems,HVAC,3 ton condenser,flat,4000
centralValley|MajAmountHvac|pick|hvac|furnace,Central Valley,Major Systems,HVAC,Furnace,flat,3500
centralValley|MajAmountHvac|pick|hvac|duct,Central Valley,Major Systems,HVAC,Duct work,flat,2500
centralValley|MajAmountHvac|pick|hvac|allnew,Central Valley,Major Systems,HVAC,All new,flat,10000
centralValley|MajAmountElectricalPanel|addon||panel100,Central Valley,Major Systems,Electrical Panel / System,New panel — 100A,flat,3000
centralValley|MajAmountElectricalPanel|addon||panel200,Central Valley,Major Systems,Electrical Panel / System,New panel — 200A,flat,3750
